titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Samsung Galaxy A33 5G 5G 128 GB awesome blue 6 GB RAM,,1.249,Nuevo | +25 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
iPhone 13 128gb + Tienda + Garantia,#605055946,,,,4.8,,MercadoLíder Gold,+5mil
Apple iPhone 12 Pro (256 GB) - Plata,,4.499,Nuevo | +5 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Apple iPhone 12 mini (128 GB) - Negro,,2.999,Nuevo | +5 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone XR 64 GB - Azul,,1.999,Nuevo | +5 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Samsung Galaxy S22+ (Snapdragon) 5G Dual SIM 128 GB phantom black 8 GB RAM,,3.199,Nuevo | 4 vendidos,a todo el país,,,MercadoLíder Gold,+500
Samsung Galaxy A13 128 GB light blue 4 GB RAM,,799,Nuevo | +25 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Samsung Galaxy S22 (Exynos) 5G 256 GB green 8 GB RAM,,2.629,Nuevo | 2 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Samsung Galaxy Z Flip3 5G 5G 128 GB gray 8 GB RAM,,2.999,Nuevo | 2 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Samsung Galaxy S22+ (Snapdragon) 5G Dual SIM 128 GB green 8 GB RAM,,3.399,Nuevo | 4 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Samsung Galaxy A22 5G 5G 128 GB gray 4 GB RAM,,859,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Umidigi Bison X10 Pro Dual SIM 128 GB hack black 6 GB RAM,,836,Nuevo | +5 vendidos,a todo el país,4.5,,MercadoLíder Gold,+1000
Samsung Galaxy Z Flip4 5G 5G 128 GB gold/yellow/yellow 8 GB RAM,,2.999,Nuevo | 2 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro (256 GB) - Verde alpino,,4.499,Nuevo | +5 vendidos,a todo el país,4.6,,,+500
Apple iPhone 12 (128 GB) - Morado,,3.199,Nuevo | +5 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Apple iPhone 13 (512 GB) - Blanco estelar,,4.499,Nuevo | 2 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Nokia 110 (2019) Dual SIM 32 MB negro 32 MB RAM,,99,Nuevo | +50 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud mint 8 GB RAM,,1.899,Nuevo | 4 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
iPhone 14 (128gb),#618855044,,,,4.9,,MercadoLíder Gold,+5mil
Apple iPhone 14 Plus (256 GB) - (PRODUCT)RED - Distribuidor autorizado,,,Nuevo | 1 vendido,a todo el país,5.0,,MercadoLíder Gold,+5mil
Samsung Galaxy S21 5G 5G 128 GB phantom violet 8 GB RAM,,2.499,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Moto E30 32 GB gris mineral 2 GB RAM,,459,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+5mil
Samsung Galaxy S22 Ultra 5G (Snapdragon) 5G Dual SIM 512 GB green 12 GB RAM,,3.999,Nuevo | 4 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
